Generation, Best Fitness, Average Fitness, Average Size
0, 35289000000, 11534390280000, 4.69
1, 34533000000, 2012242140000, 4.83
2, 31050000000, 90392866920000, 6.55
3, 8055772727.272726, 22704317181170.215, 16.08
4, 8052772727.272726, 386868417605.32086, 20.75
5, 8031227272.727274, 89383063079348.19, 17.1
6, 8031227272.727274, 195580260642.11456, 14.8
7, 8004772727.272726, 598843129543.585, 14.21
8, 8004772727.272726, 194322140542.01102, 17.76
