Generation, Best Fitness, Average Fitness, Average Size
0, 62632, 1089525.68, 4.66
1, 62444, 82025, 5.31
2, 43228, 81426.88, 6.01
3, 1718, 97701.96, 7.1
4, 1718, 89005.86, 8.21
5, 1718, 50529.1, 9.06
6, 658, 47959.46, 9.53
7, 64, 27113.82, 9.34
8, 30, 89889.64, 9.5
9, 4, 6315729.44, 10.5
10, -0, 47406.98, 11.23
